Date,Player,Mode,Chapter,Type,Value
01/01/2022,Marcos,A-Side,Celestial Resort,Deaths,12
01/12/2022,Marcos,A-Side,Celestial Resort,Deaths,10
01/01/2022,Marcos,A-Side,Golden Ridge,Speed,0:04:29.212
01/01/2022,Marcos,A-Side,Golden Ridge,Deaths,2
01/01/2022,Marcos,A-Side,Mirror Temple,Speed,0:06:54.290
01/01/2022,Marcos,A-Side,Mirror Temple,Deaths,2
01/01/2022,Marcos,A-Side,Reflection,Speed,0:08:24.611
01/01/2022,Marcos,A-Side,Reflection,Deaths,4
01/01/2022,Marcos,A-Side,The Summit,Speed,0:13:34.079
01/01/2022,Marcos,A-Side,The Summit,Deaths,13
01/01/2022,Marcos,A-Side,Core,Speed,0:10:45.626
01/01/2022,Marcos,A-Side,Core,Deaths,34
01/01/2022,Marcos,B-Side,Forsaken City,Speed,0:03:15.806
01/01/2022,Marcos,B-Side,Forsaken City,Deaths,6
01/01/2022,Marcos,B-Side,Old Site,Speed,0:04:37.916
01/01/2022,Marcos,B-Side,Old Site,Deaths,11
01/01/2022,Marcos,B-Side,Celestial Resort,Speed,0:06:53.627
01/01/2022,Marcos,B-Side,Celestial Resort,Deaths,37
01/01/2022,Marcos,B-Side,Golden Ridge,Speed,0:08:59.665
01/01/2022,Marcos,B-Side,Golden Ridge,Deaths,38
01/01/2022,Marcos,B-Side,Mirror Temple,Speed,0:12:19.755
01/01/2022,Marcos,B-Side,Mirror Temple,Deaths,80
01/01/2022,Marcos,B-Side,Reflection,Speed,0:11:00.093
01/01/2022,Marcos,B-Side,Reflection,Deaths,46
01/01/2022,Marcos,B-Side,The Summit,Speed,0:19:18.737
01/01/2022,Marcos,B-Side,The Summit,Deaths,104
01/01/2022,Marcos,B-Side,Core,Speed,0:16:49.188
01/01/2022,Marcos,B-Side,Core,Deaths,100
01/01/2022,Marcos,C-Side,Forsaken City,Speed,0:00:44.693
01/01/2022,Marcos,C-Side,Forsaken City,Deaths,0
01/01/2022,Marcos,C-Side,Old Site,Speed,0:00:34.051
01/01/2022,Marcos,C-Side,Old Site,Deaths,0
01/01/2022,Marcos,C-Side,Celestial Resort,Speed,0:01:00.520
01/01/2022,Marcos,C-Side,Celestial Resort,Deaths,0
01/01/2022,Marcos,C-Side,Golden Ridge,Speed,0:00:41.191
01/01/2022,Marcos,C-Side,Golden Ridge,Deaths,0
01/01/2022,Marcos,C-Side,Mirror Temple,Speed,0:00:33.626
01/01/2022,Marcos,C-Side,Mirror Temple,Deaths,0
01/01/2022,Marcos,C-Side,Reflection,Speed,0:00:57.613
01/01/2022,Marcos,C-Side,Reflection,Deaths,0
01/01/2022,Marcos,C-Side,The Summit,Speed,0:01:27.074
01/01/2022,Marcos,C-Side,The Summit,Deaths,1
01/01/2022,Marcos,C-Side,Core,Speed,0:03:24.918
01/01/2022,Marcos,C-Side,Core,Deaths,9
01/01/2022,Marcos,Full Clear,Forsaken City,Speed,0:06:38.463
01/01/2022,Marcos,Full Clear,Forsaken City,Deaths,11
01/01/2022,Marcos,Full Clear,Old Site,Speed,0:06:21.310
01/01/2022,Marcos,Full Clear,Old Site,Deaths,10
01/01/2022,Marcos,Full Clear,Celestial Resort,Speed,0:15:38.808
01/01/2022,Marcos,Full Clear,Celestial Resort,Deaths,55
01/01/2022,Marcos,Full Clear,Golden Ridge,Speed,0:17:23.494
01/01/2022,Marcos,Full Clear,Golden Ridge,Deaths,--
01/01/2022,Marcos,Full Clear,Mirror Temple,Speed,0:24:06.122
01/01/2022,Marcos,Full Clear,Mirror Temple,Deaths,54
01/01/2022,Marcos,Full Clear,Reflection,Speed,0:10:29.748
01/01/2022,Marcos,Full Clear,Reflection,Deaths,16
01/01/2022,Marcos,Full Clear,The Summit,Speed,0:45:58.420
01/01/2022,Marcos,Full Clear,The Summit,Deaths,--
01/01/2022,Marcos,Full Clear,Core,Speed,0:14:11.360
01/01/2022,Marcos,Full Clear,Core,Deaths,63
01/01/2022,Marcos,Any% Split,Forsaken City,Speed,0:01:32.089
01/01/2022,Marcos,Any% Split,Forsaken City,Deaths,2
01/01/2022,Marcos,Any% Split,Old Site,Speed,0:02:25.622
01/01/2022,Marcos,Any% Split,Old Site,Deaths,0
01/01/2022,Marcos,Any% Split,Celestial Resort,Speed,0:07:40.156
01/01/2022,Marcos,Any% Split,Celestial Resort,Deaths,10
01/01/2022,Marcos,Any% Split,Golden Ridge,Speed,0:05:06.340
01/01/2022,Marcos,Any% Split,Golden Ridge,Deaths,6
01/01/2022,Marcos,Any% Split,Mirror Temple,Speed,0:07:39.051
01/01/2022,Marcos,Any% Split,Mirror Temple,Deaths,8
01/01/2022,Marcos,Any% Split,Reflection,Speed,0:08:48.462
01/01/2022,Marcos,Any% Split,Reflection,Deaths,12
01/01/2022,Marcos,Any% Split,The Summit,Speed,0:14:29.244
01/01/2022,Marcos,Any% Split,The Summit,Deaths,29
01/01/2022,Marcos,Farewell,Clear,Speed,0:32:18.255
01/01/2022,Marcos,Farewell,Clear,Deaths,98
01/01/2022,Marcos,Farewell,Moon Berry,Speed,1:04:29.302
01/01/2022,Marcos,Farewell,Moon Berry,Deaths,283
01/01/2022,Marcos,Full Run,Any%,Speed,0:47:34.385
01/01/2022,Marcos,Full Run,Any%,Deaths,42
01/01/2022,Marcos,Full Run,100%-,Speed,4:09:18.895
01/01/2022,Marcos,Full Run,100%-,Deaths,963
01/01/2022,Marcos,Full Run,100%,Speed,5:13:55.218
01/01/2022,Marcos,Full Run,100%,Deaths,1257
01/01/2022,Marcos,Best Possible*,Any% Split,Speed,--
01/15/2022,Marcos,Best Possible*,Any% Split,Speed,0:49:16.351
01/01/2022,Marcos,Best Possible*,Any% Split,Deaths,--
01/15/2022,Marcos,Best Possible*,Any% Split,Deaths,86
01/01/2022,Marcos,Best Possible*,Any%,Speed,0:44:36.684
01/01/2022,Marcos,Best Possible*,Any%,Deaths,--
01/15/2022,Marcos,Best Possible*,Any%,Deaths,31
01/01/2022,Marcos,Best Possible*,100%-,Speed,--
01/01/2022,Marcos,Best Possible*,100%-,Deaths,--
01/01/2022,Marcos,Best Possible*,100%,Speed,--
01/01/2022,Marcos,Best Possible*,100%,Deaths,--
01/01/2022,Melanie,A-Side,Forsaken City,Speed,0:07:34.614
01/03/2022,Melanie,A-Side,Forsaken City,Speed,0:01:53.339
01/05/2022,Melanie,A-Side,Forsaken City,Speed,0:01:51.333
01/05/2022,Melanie,A-Side,Forsaken City,Speed,0:01:46.675
01/06/2022,Melanie,A-Side,Forsaken City,Speed,0:01:31.885
01/07/2022,Melanie,A-Side,Forsaken City,Speed,0:01:30.678
01/07/2022,Melanie,A-Side,Forsaken City,Speed,0:01:22.807
01/01/2022,Melanie,A-Side,Forsaken City,Deaths,10
01/03/2022,Melanie,A-Side,Forsaken City,Deaths,0
01/01/2022,Melanie,A-Side,Old Site,Speed,0:17:40.953
01/05/2022,Melanie,A-Side,Old Site,Speed,0:03:16.503
01/06/2022,Melanie,A-Side,Old Site,Speed,0:02:55.338
01/07/2022,Melanie,A-Side,Old Site,Speed,0:02:44.730
01/09/2022,Melanie,A-Side,Old Site,Speed,0:02:43.370
01/12/2022,Melanie,A-Side,Old Site,Speed,0:02:42.877
01/14/2022,Melanie,A-Side,Old Site,Speed,0:02:34.666
01/01/2022,Melanie,A-Side,Old Site,Deaths,27
01/05/2022,Melanie,A-Side,Old Site,Deaths,0
01/01/2022,Melanie,A-Side,Celestial Resort,Speed,1:10:08.877
01/06/2022,Melanie,A-Side,Celestial Resort,Speed,0:16:34.024
01/06/2022,Melanie,A-Side,Celestial Resort,Speed,0:12:39.985
01/07/2022,Melanie,A-Side,Celestial Resort,Speed,0:11:37.561
01/07/2022,Melanie,A-Side,Celestial Resort,Speed,0:10:43.280
01/09/2022,Melanie,A-Side,Celestial Resort,Speed,0:09:49.611
01/11/2022,Melanie,A-Side,Celestial Resort,Speed,0:09:25.386
01/11/2022,Melanie,A-Side,Celestial Resort,Speed,0:08:33.281
01/17/2022,Melanie,A-Side,Celestial Resort,Speed,0:08:28.368
01/01/2022,Melanie,A-Side,Celestial Resort,Deaths,281
01/06/2022,Melanie,A-Side,Celestial Resort,Deaths,61
01/06/2022,Melanie,A-Side,Celestial Resort,Deaths,40
01/07/2022,Melanie,A-Side,Celestial Resort,Deaths,30
01/07/2022,Melanie,A-Side,Celestial Resort,Deaths,27
01/09/2022,Melanie,A-Side,Celestial Resort,Deaths,20
01/11/2022,Melanie,A-Side,Celestial Resort,Deaths,17
01/11/2022,Melanie,A-Side,Celestial Resort,Deaths,10
01/01/2022,Melanie,A-Side,Golden Ridge,Speed,0:56:25.431
01/06/2022,Melanie,A-Side,Golden Ridge,Speed,0:11:20.765
01/06/2022,Melanie,A-Side,Golden Ridge,Speed,0:08:03.599
01/06/2022,Melanie,A-Side,Golden Ridge,Speed,0:06:53.831
01/06/2022,Melanie,A-Side,Golden Ridge,Speed,0:06:30.269
01/06/2022,Melanie,A-Side,Golden Ridge,Speed,0:06:02.236
01/07/2022,Melanie,A-Side,Golden Ridge,Speed,0:05:12.222
01/11/2022,Melanie,A-Side,Golden Ridge,Speed,0:05:01.512
01/11/2022,Melanie,A-Side,Golden Ridge,Speed,0:04:38.137
01/01/2022,Melanie,A-Side,Golden Ridge,Deaths,258
01/06/2022,Melanie,A-Side,Golden Ridge,Deaths,41
01/06/2022,Melanie,A-Side,Golden Ridge,Deaths,18
01/06/2022,Melanie,A-Side,Golden Ridge,Deaths,10
01/06/2022,Melanie,A-Side,Golden Ridge,Deaths,9
01/06/2022,Melanie,A-Side,Golden Ridge,Deaths,6
01/07/2022,Melanie,A-Side,Golden Ridge,Deaths,2
01/11/2022,Melanie,A-Side,Golden Ridge,Deaths,1
01/14/2022,Melanie,A-Side,Golden Ridge,Deaths,0
01/01/2022,Melanie,A-Side,Mirror Temple,Speed,1:06:02.462
01/07/2022,Melanie,A-Side,Mirror Temple,Speed,0:19:29.481
01/09/2022,Melanie,A-Side,Mirror Temple,Speed,0:09:46.347
01/12/2022,Melanie,A-Side,Mirror Temple,Speed,0:08:42.665
01/14/2022,Melanie,A-Side,Mirror Temple,Speed,0:07:52.634
01/01/2022,Melanie,A-Side,Mirror Temple,Deaths,200
01/07/2022,Melanie,A-Side,Mirror Temple,Deaths,49
01/09/2022,Melanie,A-Side,Mirror Temple,Deaths,11
01/14/2022,Melanie,A-Side,Mirror Temple,Deaths,5
01/01/2022,Melanie,A-Side,Reflection,Speed,0:45:02.643
01/09/2022,Melanie,A-Side,Reflection,Speed,0:13:09.412
01/12/2022,Melanie,A-Side,Reflection,Speed,0:11:42.457
01/12/2022,Melanie,A-Side,Reflection,Speed,0:10:29.119
01/14/2022,Melanie,A-Side,Reflection,Speed,0:10:07.223
01/01/2022,Melanie,A-Side,Reflection,Deaths,159
01/09/2022,Melanie,A-Side,Reflection,Deaths,29
01/12/2022,Melanie,A-Side,Reflection,Deaths,17
01/14/2022,Melanie,A-Side,Reflection,Deaths,14
01/01/2022,Melanie,A-Side,The Summit,Speed,1:11:10.655
01/09/2022,Melanie,A-Side,The Summit,Speed,0:46:54.027
01/10/2022,Melanie,A-Side,The Summit,Speed,0:23:00.043
01/12/2022,Melanie,A-Side,The Summit,Speed,0:16:55.461
01/14/2022,Melanie,A-Side,The Summit,Speed,0:16:53.387
01/17/2022,Melanie,A-Side,The Summit,Speed,0:15:19.938
01/01/2022,Melanie,A-Side,The Summit,Deaths,314
01/09/2022,Melanie,A-Side,The Summit,Deaths,270
01/10/2022,Melanie,A-Side,The Summit,Deaths,62
01/12/2022,Melanie,A-Side,The Summit,Deaths,24
01/17/2022,Melanie,A-Side,The Summit,Deaths,15
01/01/2022,Melanie,A-Side,Core,Speed,0:29:37.707
01/15/2022,Melanie,A-Side,Core,Speed,0:19:08.214
01/01/2022,Melanie,A-Side,Core,Deaths,152
01/15/2022,Melanie,A-Side,Core,Deaths,98
01/01/2022,Melanie,B-Side,Forsaken City,Speed,0:34:17.051
01/12/2022,Melanie,B-Side,Forsaken City,Speed,0:13:49.243
01/01/2022,Melanie,B-Side,Forsaken City,Deaths,251
01/12/2022,Melanie,B-Side,Forsaken City,Deaths,93
01/01/2022,Melanie,B-Side,Old Site,Speed,0:29:59.518
01/01/2022,Melanie,B-Side,Old Site,Deaths,153
01/01/2022,Melanie,B-Side,Celestial Resort,Speed,1:15:46.055
01/01/2022,Melanie,B-Side,Celestial Resort,Deaths,576
01/01/2022,Melanie,B-Side,Golden Ridge,Speed,0:59:18.967
01/01/2022,Melanie,B-Side,Golden Ridge,Deaths,350
01/01/2022,Melanie,B-Side,Mirror Temple,Speed,0:42:36.392
01/01/2022,Melanie,B-Side,Mirror Temple,Deaths,253
01/01/2022,Melanie,B-Side,Reflection,Speed,1:11:43.686
01/01/2022,Melanie,B-Side,Reflection,Deaths,385
01/01/2022,Melanie,B-Side,The Summit,Speed,2:28:58.549
01/01/2022,Melanie,B-Side,The Summit,Deaths,879
01/01/2022,Melanie,B-Side,Core,Speed,1:58:48.882
01/01/2022,Melanie,B-Side,Core,Deaths,909
01/01/2022,Melanie,C-Side,Forsaken City,Speed,--
01/14/2022,Melanie,C-Side,Forsaken City,Speed,0:06:26.036
01/01/2022,Melanie,C-Side,Forsaken City,Deaths,--
01/14/2022,Melanie,C-Side,Forsaken City,Deaths,28
01/01/2022,Melanie,C-Side,Old Site,Speed,--
01/01/2022,Melanie,C-Side,Old Site,Deaths,--
01/01/2022,Melanie,C-Side,Celestial Resort,Speed,--
01/01/2022,Melanie,C-Side,Celestial Resort,Deaths,--
01/01/2022,Melanie,C-Side,Golden Ridge,Speed,--
01/01/2022,Melanie,C-Side,Golden Ridge,Deaths,--
01/01/2022,Melanie,C-Side,Mirror Temple,Speed,--
01/01/2022,Melanie,C-Side,Mirror Temple,Deaths,--
01/01/2022,Melanie,C-Side,Reflection,Speed,--
01/01/2022,Melanie,C-Side,Reflection,Deaths,--
01/01/2022,Melanie,C-Side,The Summit,Speed,--
01/01/2022,Melanie,C-Side,The Summit,Deaths,--
01/01/2022,Melanie,C-Side,Core,Speed,--
01/01/2022,Melanie,C-Side,Core,Deaths,--
01/01/2022,Melanie,Full Clear,Forsaken City,Speed,--
01/01/2022,Melanie,Full Clear,Forsaken City,Deaths,--
01/01/2022,Melanie,Full Clear,Old Site,Speed,--
01/01/2022,Melanie,Full Clear,Old Site,Deaths,--
01/01/2022,Melanie,Full Clear,Celestial Resort,Speed,--
01/01/2022,Melanie,Full Clear,Celestial Resort,Deaths,--
01/01/2022,Melanie,Full Clear,Golden Ridge,Speed,--
01/01/2022,Melanie,Full Clear,Golden Ridge,Deaths,--
01/01/2022,Melanie,Full Clear,Mirror Temple,Speed,--
01/01/2022,Melanie,Full Clear,Mirror Temple,Deaths,--
01/01/2022,Melanie,Full Clear,Reflection,Speed,--
01/01/2022,Melanie,Full Clear,Reflection,Deaths,--
01/01/2022,Melanie,Full Clear,The Summit,Speed,--
01/01/2022,Melanie,Full Clear,The Summit,Deaths,--
01/01/2022,Melanie,Full Clear,Core,Speed,--
01/01/2022,Melanie,Full Clear,Core,Deaths,--
01/01/2022,Melanie,Any% Split,Forsaken City,Speed,0:01:48.477
01/01/2022,Melanie,Any% Split,Forsaken City,Deaths,4
01/01/2022,Melanie,Any% Split,Old Site,Speed,0:02:54.947
01/01/2022,Melanie,Any% Split,Old Site,Deaths,2
01/01/2022,Melanie,Any% Split,Celestial Resort,Speed,0:08:57.948
01/01/2022,Melanie,Any% Split,Celestial Resort,Deaths,17
01/01/2022,Melanie,Any% Split,Golden Ridge,Speed,0:05:16.336
01/01/2022,Melanie,Any% Split,Golden Ridge,Deaths,1
01/01/2022,Melanie,Any% Split,Mirror Temple,Speed,0:09:30.282
01/01/2022,Melanie,Any% Split,Mirror Temple,Deaths,13
01/01/2022,Melanie,Any% Split,Reflection,Speed,0:11:48.594
01/01/2022,Melanie,Any% Split,Reflection,Deaths,25
01/01/2022,Melanie,Any% Split,The Summit,Speed,0:18:07.524
01/01/2022,Melanie,Any% Split,The Summit,Deaths,30
01/01/2022,Melanie,Farewell,Clear,Speed,--
01/01/2022,Melanie,Farewell,Clear,Deaths,--
01/01/2022,Melanie,Farewell,Moon Berry,Speed,--
01/01/2022,Melanie,Farewell,Moon Berry,Deaths,--
01/01/2022,Melanie,Full Run,Any%,Speed,--
01/12/2022,Melanie,Full Run,Any%,Speed,1:03:12.000
01/15/2022,Melanie,Full Run,Any%,Speed,1:00:30.877
01/01/2022,Melanie,Full Run,Any%,Deaths,--
01/12/2022,Melanie,Full Run,Any%,Deaths,112
01/15/2022,Melanie,Full Run,Any%,Deaths,101
01/01/2022,Melanie,Full Run,100%-,Speed,--
01/01/2022,Melanie,Full Run,100%-,Deaths,--
01/01/2022,Melanie,Full Run,100%,Speed,--
01/01/2022,Melanie,Full Run,100%,Deaths,--
01/01/2022,Melanie,Best Possible*,Any% Split,Speed,--
01/15/2022,Melanie,Best Possible*,Any% Split,Speed,0:59:30.306
01/01/2022,Melanie,Best Possible*,Any% Split,Deaths,--
01/15/2022,Melanie,Best Possible*,Any% Split,Deaths,101
01/01/2022,Melanie,Best Possible*,Any%,Speed,0:52:02.135
01/01/2022,Melanie,Best Possible*,Any%,Deaths,--
01/15/2022,Melanie,Best Possible*,Any%,Deaths,53
01/01/2022,Melanie,Best Possible*,100%-,Speed,--
01/01/2022,Melanie,Best Possible*,100%-,Deaths,--
01/01/2022,Melanie,Best Possible*,100%,Speed,--
01/01/2022,Melanie,Best Possible*,100%,Deaths,--
01/17/2022,L,A-Side,Celestial Resort,Speed,0:07:18.515
01/17/2022,L,A-Side,Core,Speed,0:06:41.846
01/17/2022,L,A-Side,Forsaken City,Speed,0:01:27.499
01/17/2022,L,A-Side,Golden Ridge,Speed,0:04:44.138
01/17/2022,L,A-Side,Mirror Temple,Speed,0:07:26.658
01/17/2022,L,A-Side,Old Site,Speed,0:02:27.543
01/17/2022,L,A-Side,Reflection,Speed,0:09:26.797
01/17/2022,L,A-Side,The Summit,Speed,0:14:31.403
01/17/2022,L,Any% Split,Celestial Resort,Speed,0:07:57.904
01/17/2022,L,Any% Split,Forsaken City,Speed,0:01:30.848
01/17/2022,L,Any% Split,Golden Ridge,Speed,0:04:46.977
01/17/2022,L,Any% Split,Mirror Temple,Speed,0:07:29.208
01/17/2022,L,Any% Split,Old Site,Speed,0:02:44.628
01/17/2022,L,Any% Split,Reflection,Speed,0:09:54.065
01/17/2022,L,Any% Split,The Summit,Speed,0:14:56.053
01/17/2022,L,B-Side,Celestial Resort,Speed,0:08:26.821
01/17/2022,L,B-Side,Core,Speed,0:14:40.311
01/17/2022,L,B-Side,Forsaken City,Speed,0:03:07.867
01/17/2022,L,B-Side,Golden Ridge,Speed,0:09:50.563
01/17/2022,L,B-Side,Mirror Temple,Speed,0:11:20.221
01/17/2022,L,B-Side,Old Site,Speed,0:02:45.699
01/17/2022,L,B-Side,Reflection,Speed,0:11:39.618
01/17/2022,L,B-Side,The Summit,Speed,0:14:37.846
01/17/2022,L,Best Possible*,100%,Speed,4:31:23.601
01/17/2022,L,Best Possible*,100%-,Speed,3:35:23.755
01/17/2022,L,Best Possible*,Any%,Speed,0:47:22.553
01/17/2022,L,Best Possible*,Any% Split,Speed,0:51:31.025
01/17/2022,L,C-Side,Celestial Resort,Speed,0:00:45.543
01/17/2022,L,C-Side,Core,Speed,0:02:49.252
01/17/2022,L,C-Side,Forsaken City,Speed,0:00:47.515
01/17/2022,L,C-Side,Golden Ridge,Speed,0:00:37.961
01/17/2022,L,C-Side,Mirror Temple,Speed,0:00:34.221
01/17/2022,L,C-Side,Old Site,Speed,0:00:40.868
01/17/2022,L,C-Side,Reflection,Speed,0:00:57.868
